topik_level,no,korean,english,source,source_doc,source_url
TOPIK I,1,가게,"store, shop",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,2,가격,price,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,3,가구,furniture,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,4,가깝다,close,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,5,가끔,sometimes,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,6,가다,go,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,7,가르치다,teach,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,8,가방,bag,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,9,가볍다,light,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,10,가수,singer,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,11,가슴,"chest, breast",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,12,가요,song,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,13,가운데,middle,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,14,가위,scissors,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,15,가을,"autumn, fall",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,16,가장,most,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,17,가져가다,take away,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,18,가져오다,bring,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,19,가족,family,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,20,가지,branch,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,21,가지다,have,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,22,각,each,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,23,간,while,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,24,간단하다,"simple, easy",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,25,간단히,simply,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,26,간식,snack,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,27,간장,soy sauce,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,28,간호사,nurse,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,29,갈비,"Galvi, spareribs",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,30,갈비탕,"Galbitang, spareribs soup",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,31,갈색,brown,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,32,갈아타다,transfer,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,33,감,persimmon,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,34,감기,cold,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,35,감기약,cold medicine,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,36,감다,close ~ (eyes),learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,37,감동,sensation,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,38,감동하다,be impressed,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,39,감사,thank,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,40,감사드립니다,thank you,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,41,감사하다,"thank, appreciate",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,42,감사합니다,thank you,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,43,감자,potato,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
